code_dpt,dpt,code_circ,circ,code_commune,commune,code_b_vote,cp,id_b_vote,inscrits,abstentions,p_abs/ins,votants,p_vot/ins,blancs,p_blancs/ins,p_blancs/vot,nuls,p_nuls/ins,p_nuls/vot,exprimés,p_exp/ins,p_exp/vot,n_panneau,sexe,nom,prenom,nuance,voix,p_voix/ins,p_voix/exp
84,Vaucluse,5,5ème circonscription,4,Aubignan,4,84004,Aubignan-4,1060,553,52.17,507,47.83,11,1.04,2.17,2,0.19,0.39,494,46.6,97.44,-,-,abstention,-,-,553.0,52.17,0.0
84,Vaucluse,5,5ème circonscription,4,Aubignan,4,84004,Aubignan-4,1060,553,52.17,507,47.83,11,1.04,2.17,2,0.19,0.39,494,46.6,97.44,-,-,blancs,-,-,11.0,1.04,2.17
84,Vaucluse,5,5ème circonscription,4,Aubignan,4,84004,Aubignan-4,1060,553,52.17,507,47.83,11,1.04,2.17,2,0.19,0.39,494,46.6,97.44,-,-,nuls,-,-,2.0,0.19,0.39
84,Vaucluse,5,5ème circonscription,5,Aurel,1,84005,Aurel-1,159,68,42.77,91,57.23,0,0.0,0.0,0,0.0,0.0,91,57.23,100.0,-,-,abstention,-,-,68.0,42.77,0.0
84,Vaucluse,5,5ème circonscription,5,Aurel,1,84005,Aurel-1,159,68,42.77,91,57.23,0,0.0,0.0,0,0.0,0.0,91,57.23,100.0,-,-,blancs,-,-,0.0,0.0,0.0
84,Vaucluse,5,5ème circonscription,5,Aurel,1,84005,Aurel-1,159,68,42.77,91,57.23,0,0.0,0.0,0,0.0,0.0,91,57.23,100.0,-,-,nuls,-,-,0.0,0.0,0.0
84,Vaucluse,5,5ème circonscription,6,Auribeau,1,84006,Auribeau-1,67,18,26.87,49,73.13,2,2.99,4.08,0,0.0,0.0,47,70.15,95.92,-,-,abstention,-,-,18.0,26.87,0.0
84,Vaucluse,5,5ème circonscription,6,Auribeau,1,84006,Auribeau-1,67,18,26.87,49,73.13,2,2.99,4.08,0,0.0,0.0,47,70.15,95.92,-,-,blancs,-,-,2.0,2.99,4.08
84,Vaucluse,5,5ème circonscription,6,Auribeau,1,84006,Auribeau-1,67,18,26.87,49,73.13,2,2.99,4.08,0,0.0,0.0,47,70.15,95.92,-,-,nuls,-,-,0.0,0.0,0.0
84,Vaucluse,5,5ème circonscription,9,La Bastide-des-Jourdans,1,84009,La Bastide-des-Jourdans-1,1137,572,50.31,565,49.69,4,0.35,0.71,10,0.88,1.77,551,48.46,97.52,-,-,abstention,-,-,572.0,50.31,0.0
84,Vaucluse,5,5ème circonscription,9,La Bastide-des-Jourdans,1,84009,La Bastide-des-Jourdans-1,1137,572,50.31,565,49.69,4,0.35,0.71,10,0.88,1.77,551,48.46,97.52,-,-,blancs,-,-,4.0,0.35,0.71
84,Vaucluse,5,5ème circonscription,9,La Bastide-des-Jourdans,1,84009,La Bastide-des-Jourdans-1,1137,572,50.31,565,49.69,4,0.35,0.71,10,0.88,1.77,551,48.46,97.52,-,-,nuls,-,-,10.0,0.88,1.77
84,Vaucluse,5,5ème circonscription,10,La Bastidonne,1,84010,La Bastidonne-1,647,298,46.06,349,53.94,1,0.15,0.29,1,0.15,0.29,347,53.63,99.43,-,-,abstention,-,-,298.0,46.06,0.0
84,Vaucluse,5,5ème circonscription,10,La Bastidonne,1,84010,La Bastidonne-1,647,298,46.06,349,53.94,1,0.15,0.29,1,0.15,0.29,347,53.63,99.43,-,-,blancs,-,-,1.0,0.15,0.29
84,Vaucluse,5,5ème circonscription,10,La Bastidonne,1,84010,La Bastidonne-1,647,298,46.06,349,53.94,1,0.15,0.29,1,0.15,0.29,347,53.63,99.43,-,-,nuls,-,-,1.0,0.15,0.29
84,Vaucluse,5,5ème circonscription,13,Beaumettes,1,84013,Beaumettes-1,216,79,36.57,137,63.43,4,1.85,2.92,1,0.46,0.73,132,61.11,96.35,-,-,abstention,-,-,79.0,36.57,0.0
84,Vaucluse,5,5ème circonscription,13,Beaumettes,1,84013,Beaumettes-1,216,79,36.57,137,63.43,4,1.85,2.92,1,0.46,0.73,132,61.11,96.35,-,-,blancs,-,-,4.0,1.85,2.92
84,Vaucluse,5,5ème circonscription,13,Beaumettes,1,84013,Beaumettes-1,216,79,36.57,137,63.43,4,1.85,2.92,1,0.46,0.73,132,61.11,96.35,-,-,nuls,-,-,1.0,0.46,0.73
84,Vaucluse,5,5ème circonscription,14,Beaumont-de-Pertuis,1,84014,Beaumont-de-Pertuis-1,883,425,48.13,458,51.87,9,1.02,1.97,3,0.34,0.66,446,50.51,97.38,-,-,abstention,-,-,425.0,48.13,0.0
84,Vaucluse,5,5ème circonscription,14,Beaumont-de-Pertuis,1,84014,Beaumont-de-Pertuis-1,883,425,48.13,458,51.87,9,1.02,1.97,3,0.34,0.66,446,50.51,97.38,-,-,blancs,-,-,9.0,1.02,1.97
