Code du département;Département;Code de la circonscription;Circonscription;Code de la commune;Commune;Bureau de vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Panneau;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Insee;Coordonnées;Nom Bureau Vote;Adresse;Code Postal;Ville;uniq_bdv
84;Vaucluse;05;5ème circonscription;113;Saint-Martin-de-la-Brasque;0001;620;260;41.94;360;58.06;9;1.45;2.5;2;0.32;0.56;349;56.29;96.94;9;F;DAURES;Anne;ECO;10;1.609999999999999;2.87;84113;43.769593,5.536302;Mairie - salle du conseil;6 Cours du Mont Libre;84760;Saint-Martin-de-la-Brasque;Mairie - salle du conseil -  Saint-Martin-de-la-Brasque
84;Vaucluse;05;5ème circonscription;075;Méthamis;0001;351;161;45.87;190;54.13;5;1.42;2.63;0;0.0;0.0;185;52.71;97.37;1;M;CHALENÇON;Christophe;DVD;2;0.5700000000000001;1.08;84075;44.01365,5.220549;Salle communale;Haut du Village;84570;Méthamis;Salle communale -  Méthamis
84;Vaucluse;05;5ème circonscription;052;Grambois;0001;984;449;45.63;535;54.37;8;0.81;1.5;3;0.30000000000000004;0.56;524;53.25;97.94;12;F;FOREST;Nathalie;DLF;8;0.81;1.53;84052;43.762588,5.589066;Mairie - salle du conseil municipal;2,place de la mairie;84240;Grambois;Mairie - salle du conseil municipal -  Grambois
84;Vaucluse;05;5ème circonscription;115;Saint-Pierre-de-Vassols;0001;430;174;40.47;256;59.53;4;0.93;1.56;0;0.0;0.0;252;58.6;98.44;8;M;CHOTARD;Stéphane;FI;17;3.95;6.75;84115;44.101058,5.136318;Salle du conseil municipal;38,rue de la Magdelaine;84330;Saint-Pierre-de-Vassols;Salle du conseil municipal -  Saint-Pierre-de-Vassols
84;Vaucluse;05;5ème circonscription;107;Saint-Christol;0001;468;228;48.72;240;51.28;8;1.71;3.33;3;0.64;1.25;229;48.93;95.42;10;F;KADLER;Marie-Christine;ECO;9;1.92;3.93;84107;44.029273,5.49188;Hôtel de ville;Place de la mairie;84390;Saint-Christol;Hôtel de ville -  Saint-Christol
84;Vaucluse;05;5ème circonscription;133;La Tour-d'Aigues;0001;1104;603;54.62;501;45.38;11;1.0;2.2;4;0.36;0.8;486;44.02;97.01;6;M;PIERINI;Lucien;EXG;4;0.36;0.8200000000000001;84133;43.727043,5.549228;Ecole maternelle;Boulevard de la République;84240;La Tour-d'Aigues;Ecole maternelle -  La Tour-d'Aigues
84;Vaucluse;05;5ème circonscription;089;Pertuis;0005;976;498;51.02;478;48.98;8;0.8200000000000001;1.67;4;0.41000000000000003;0.84;466;47.75;97.49;6;M;PIERINI;Lucien;EXG;7;0.72;1.5;84089;43.695607,5.495982;Ecole Primaire Henri Crevat;Boulevard Jean Guigues;84120;Pertuis;Ecole Primaire Henri Crevat -  Pertuis
84;Vaucluse;05;5ème circonscription;133;La Tour-d'Aigues;0002;1221;548;44.88;673;55.12;9;0.74;1.34;5;0.41000000000000003;0.74;659;53.97;97.92;5;M;LECELLIER;Cédric;DVG;3;0.25;0.46;84133;43.727043,5.549228;Ecole maternelle;Boulevard de la République;84240;La Tour-d'Aigues;Ecole maternelle -  La Tour-d'Aigues
84;Vaucluse;05;5ème circonscription;002;Ansouis;0001;880;419;47.61;461;52.39;1;0.11;0.22;14;1.589999999999999;3.04;446;50.68;96.75;10;F;KADLER;Marie-Christine;ECO;11;1.25;2.47;84002;43.737849,5.464846;Mairie - salle du conseil municipal;Place Saint Elzéar;84240;Ansouis;Mairie - salle du conseil municipal -  Ansouis
84;Vaucluse;05;5ème circonscription;031;Carpentras;0001;620;406;65.48;214;34.52;3;0.48;1.4;5;0.81;2.34;206;33.23;96.26;5;M;LECELLIER;Cédric;DVG;2;0.32;0.97;84031;44.055484,5.048656;Hôtel de ville;Place Maurice Charretier;84200;Carpentras;Hôtel de ville -  Carpentras
